[ 2025-01-04 17:14:41,057 ] 18 root - INFO - Initiate the data ingestion
[ 2025-01-04 17:14:42,350 ] 63 root - INFO - Performed train test split on the dataframe
[ 2025-01-04 17:14:42,350 ] 64 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-01-04 17:14:42,351 ] 68 root - INFO - Exporting train and test file
[ 2025-01-04 17:14:42,423 ] 75 root - INFO - Exported train and test file
[ 2025-01-04 17:14:42,423 ] 20 root - INFO - Data initiation completed
[ 2025-01-04 17:14:42,423 ] 27 root - INFO - INitiate data validation
[ 2025-01-04 17:14:42,457 ] 31 root - INFO - Required number of columns :2
[ 2025-01-04 17:14:42,466 ] 32 root - INFO - Dataframe has columns : 31
[ 2025-01-04 17:14:42,466 ] 31 root - INFO - Required number of columns :2
[ 2025-01-04 17:14:42,466 ] 32 root - INFO - Dataframe has columns : 31
[ 2025-01-04 17:14:42,678 ] 29 root - INFO - data validation completed
[ 2025-01-04 17:14:42,679 ] 35 root - INFO - INitiate data Transformation
[ 2025-01-04 17:14:42,679 ] 46 root - INFO - Entered the initiate data transformation method
[ 2025-01-04 17:14:42,679 ] 48 root - INFO - Starting Data Transformation
[ 2025-01-04 17:14:42,706 ] 36 root - INFO - Entered get_data_transformer_object method of Transformation class
[ 2025-01-04 17:14:42,706 ] 39 root - INFO - INitialize KNN IMputer with : {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-01-04 17:14:42,729 ] 41 root - INFO - Entered the save object method of Mainutils class
[ 2025-01-04 17:14:42,733 ] 37 root - INFO - data transformation completed
