[ 2025-01-04 22:46:25,164 ] 20 root - INFO - Initiate the data ingestion
[ 2025-01-04 22:46:26,550 ] 63 root - INFO - Performed train test split on the dataframe
[ 2025-01-04 22:46:26,550 ] 64 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-01-04 22:46:26,550 ] 68 root - INFO - Exporting train and test file
[ 2025-01-04 22:46:26,625 ] 75 root - INFO - Exported train and test file
[ 2025-01-04 22:46:26,626 ] 22 root - INFO - Data initiation completed
[ 2025-01-04 22:46:26,643 ] 29 root - INFO - INitiate data validation
[ 2025-01-04 22:46:26,682 ] 31 root - INFO - Required number of columns :2
[ 2025-01-04 22:46:26,683 ] 32 root - INFO - Dataframe has columns : 31
[ 2025-01-04 22:46:26,683 ] 31 root - INFO - Required number of columns :2
[ 2025-01-04 22:46:26,683 ] 32 root - INFO - Dataframe has columns : 31
[ 2025-01-04 22:46:26,924 ] 31 root - INFO - data validation completed
[ 2025-01-04 22:46:26,924 ] 37 root - INFO - INitiate data Transformation
[ 2025-01-04 22:46:26,924 ] 46 root - INFO - Entered the initiate data transformation method
[ 2025-01-04 22:46:26,924 ] 48 root - INFO - Starting Data Transformation
[ 2025-01-04 22:46:26,948 ] 36 root - INFO - Entered get_data_transformer_object method of Transformation class
[ 2025-01-04 22:46:26,948 ] 39 root - INFO - INitialize KNN IMputer with : {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-01-04 22:46:26,976 ] 43 root - INFO - Entered the save object method of Mainutils class
[ 2025-01-04 22:46:26,977 ] 39 root - INFO - data transformation completed
[ 2025-01-04 22:46:26,977 ] 43 root - INFO - Model training started...
