[ 2025-01-04 00:48:22,078 ] 15 root - INFO - Initiate the data ingestion
[ 2025-01-04 00:48:23,368 ] 63 root - INFO - Performed train test split on the dataframe
[ 2025-01-04 00:48:23,368 ] 64 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-01-04 00:48:23,368 ] 68 root - INFO - Exporting train and test file
[ 2025-01-04 00:48:23,428 ] 75 root - INFO - Exported train and test file
[ 2025-01-04 00:48:23,428 ] 17 root - INFO - Data initiation completed
[ 2025-01-04 00:48:23,436 ] 21 root - INFO - INitiate data validation
[ 2025-01-04 00:48:23,457 ] 31 root - INFO - Required number of columns :2
[ 2025-01-04 00:48:23,473 ] 32 root - INFO - Dataframe has columns : 31
[ 2025-01-04 00:48:23,474 ] 31 root - INFO - Required number of columns :2
[ 2025-01-04 00:48:23,474 ] 32 root - INFO - Dataframe has columns : 31
[ 2025-01-04 00:48:23,649 ] 23 root - INFO - data validation completed
