[ 2025-01-04 17:08:09,056 ] 18 root - INFO - Initiate the data ingestion
[ 2025-01-04 17:08:10,676 ] 63 root - INFO - Performed train test split on the dataframe
[ 2025-01-04 17:08:10,676 ] 64 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-01-04 17:08:10,677 ] 68 root - INFO - Exporting train and test file
[ 2025-01-04 17:08:10,742 ] 75 root - INFO - Exported train and test file
[ 2025-01-04 17:08:10,742 ] 20 root - INFO - Data initiation completed
[ 2025-01-04 17:08:10,761 ] 27 root - INFO - INitiate data validation
[ 2025-01-04 17:08:10,788 ] 31 root - INFO - Required number of columns :2
[ 2025-01-04 17:08:10,788 ] 32 root - INFO - Dataframe has columns : 31
[ 2025-01-04 17:08:10,788 ] 31 root - INFO - Required number of columns :2
[ 2025-01-04 17:08:10,788 ] 32 root - INFO - Dataframe has columns : 31
[ 2025-01-04 17:08:10,986 ] 29 root - INFO - data validation completed
